Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,7220,80,174173,2022-11-04
Fazt_web,5820000,27269,3269774926,2022-11-04
PeladoNerd,129000,294,7704103,2022-11-04
Codigofacilito,703000,3079,98393210,2022-11-04
