Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,6840,78,165800,2022-10-17
Fazt_web,5740000,26760,3189007003,2022-10-17
PeladoNerd,126000,291,7490275,2022-10-17
Codigofacilito,702000,3071,98119527,2022-10-17
