Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,7290,80,177057,2022-11-11
Fazt_web,5860000,27461,3297180374,2022-11-11
PeladoNerd,130000,295,7771146,2022-11-11
Codigofacilito,703000,3086,98498207,2022-11-11
