Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,7350,81,178927,2022-11-16
Fazt_web,5890000,27584,3321531220,2022-11-16
PeladoNerd,131000,296,7815150,2022-11-16
Codigofacilito,704000,3089,98576349,2022-11-16
