Channel_name,Subscribers,Video_count,Total_Views,Createt_at
DeigoRuzzarin,1260000,1626,191229659,2023-09-03
NateGentile,2610000,465,344074959,2023-09-03
Marciaylanube,10600,107,297287,2023-09-03
Fazt_web,6680000,38047,4101295432,2023-09-03
PeladoNerd,150000,327,9942963,2023-09-03
Codigofacilito,717000,3235,101336796,2023-09-03
