Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,6920,79,168246,2022-10-22
Fazt_web,5760000,26931,3214073356,2022-10-22
PeladoNerd,127000,292,7553199,2022-10-22
Codigofacilito,702000,3074,98204989,2022-10-22
