Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,7200,80,173597,2022-11-03
Fazt_web,5820000,27229,3266163874,2022-11-03
PeladoNerd,129000,294,7693697,2022-11-03
Codigofacilito,703000,3079,98377644,2022-11-03
