Channel_name,Subscribers,Video_count,Total_Views,Createt_at
FreeCover,468000,46,255666607,2022-11-29
NorbertoVelez,332000,189,146155130,2022-11-29
Marciaylanube,7500,82,183431,2022-11-29
Fazt_web,5930000,27931,3313615901,2022-11-29
PeladoNerd,132000,297,7912913,2022-11-29
Codigofacilito,704000,3097,98751077,2022-11-29
