Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,6980,79,170214,2022-10-27
Fazt_web,5790000,27055,3237757136,2022-10-27
PeladoNerd,128000,293,7618745,2022-10-27
Codigofacilito,702000,3075,98279505,2022-10-27
