Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,7260,80,175613,2022-11-08
Fazt_web,5840000,27358,3283094140,2022-11-08
PeladoNerd,129000,294,7734232,2022-11-08
Codigofacilito,703000,3081,98446092,2022-11-08
