Channel_name,Subscribers,Video_count,Total_Views,Createt_at
FreeCover,472000,47,276222213,2022-12-08
NorbertoVelez,335000,189,148614204,2022-12-08
Marciaylanube,7580,82,186578,2022-12-08
Fazt_web,5950000,28146,3334720047,2022-12-08
PeladoNerd,132000,299,7982177,2022-12-08
Codigofacilito,705000,3099,98862521,2022-12-08
