Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,7130,79,171974,2022-10-31
Fazt_web,5810000,27143,3253069934,2022-10-31
PeladoNerd,129000,293,7658558,2022-10-31
Codigofacilito,702000,3077,98331788,2022-10-31
