Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,6910,79,167772,2022-10-21
Fazt_web,5760000,26904,3209049625,2022-10-21
PeladoNerd,127000,292,7539781,2022-10-21
Codigofacilito,702000,3074,98188196,2022-10-21
