Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,7230,80,175199,2022-11-07
Fazt_web,5840000,27332,3278983408,2022-11-07
PeladoNerd,129000,294,7726543,2022-11-07
Codigofacilito,703000,3080,98431968,2022-11-07
