Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,6780,78,164041,2022-10-12
Fazt_web,5720000,26635,3169849965,2022-10-12
PeladoNerd,126000,291,7449621,2022-10-12
Codigofacilito,701000,3069,98040666,2022-10-12
