Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,6730,78,162937,2022-10-09
Fazt_web,5700000,26546,3137952282,2022-10-09
PeladoNerd,125000,290,7426021,2022-10-09
Codigofacilito,701000,3068,97998613,2022-10-09
