Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,6960,79,169299,2022-10-25
Fazt_web,5780000,27005,3228116473,2022-10-25
PeladoNerd,127000,292,7589076,2022-10-25
Codigofacilito,702000,3074,98243718,2022-10-25
