Channel_name,Subscribers,Video_count,Total_Views,Createt_at
FreeCover,465000,46,252732342,2022-11-23
NorbertoVelez,328000,188,144246211,2022-11-23
Marciaylanube,7440,81,181557,2022-11-23
Fazt_web,5910000,27773,3296329489,2022-11-23
PeladoNerd,131000,296,7874520,2022-11-23
Codigofacilito,704000,3094,98676139,2022-11-23
