Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,7340,81,178374,2022-11-15
Fazt_web,5880000,27549,3315946048,2022-11-15
PeladoNerd,130000,295,7803077,2022-11-15
Codigofacilito,704000,3089,98559015,2022-11-15
