Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,7260,80,176135,2022-11-09
Fazt_web,5850000,27390,3287575480,2022-11-09
PeladoNerd,130000,295,7747647,2022-11-09
Codigofacilito,703000,3082,98464026,2022-11-09
