Channel_name,Subscribers,Video_count,Total_Views,Createt_at
Marciaylanube,6810,78,164852,2022-10-14
Fazt_web,5730000,26684,3176334661,2022-10-14
PeladoNerd,126000,291,7470380,2022-10-14
Codigofacilito,701000,3070,98075286,2022-10-14
